rank_name,pre_s,input_s,output_s,comm_s,comp_s,wall_s
rank_0,0.539555925,1.982241307,1.785960645,1.510090129,4.142320791,9.960168797
rank_1,0.534319717,1.981147048,1.784786402,1.340919677,4.304355783,9.945528627
rank_10,0.454945192,2.001051498,1.784780393,1.490332059,4.161318022,9.892427164
rank_11,0.443909248,2.001065729,1.785664354,3.530538274,2.119862367,9.881039972
rank_12,0.459574678,1.986280445,1.784827237,3.515679473,2.127850638,9.874212471
rank_13,0.470867903,1.986738196,1.784780297,1.504026756,4.139240423,9.885653575
rank_14,0.478222584,1.986175792,1.784784184,1.505980037,4.137966641,9.893129238
rank_15,0.449697528,1.986194906,1.785147636,3.50855578,2.134984881,9.864580731
rank_2,0.536307845,1.981127389,1.784785175,1.398300661,4.246892076,9.947413146
rank_3,0.521944924,1.981106965,1.784845189,3.342355871,2.30542618,9.935679129
rank_4,0.469505176,2.001071849,1.784834896,3.27719849,2.371139899,9.90375031
rank_5,0.465502881,2.001128524,1.784778154,1.111855028,4.535604423,9.89886901
rank_6,0.468092615,2.001108953,1.785383879,1.151495067,4.494685212,9.900765726
rank_7,0.455257268,2.00157596,1.784832053,3.222548748,2.426689081,9.89090311
rank_8,0.455463962,2.001043581,1.784775785,3.340508091,2.316657362,9.898448781
rank_9,0.453850197,2.002119368,1.784777538,1.312423359,4.337869594,9.891040056
